	ec_373	ec_608	ec_513	ec_137	ec_156	ec_84	ec_436	ec_712	ec_820	ec_700	ec_771	ec_736	ec_765	ec_674	ec_721	ec_738	ec_413	ec_774	ec_780	ec_807	ec_25	ec_28	ec_484	ec_24	ec_435	ec_610	ec_252	ec_414	ec_658	ec_595	ec_681	ec_41	ec_984	ec_232	ec_997	ec_131	ec_433	ec_476	ec_767	ec_680	ec_108	ec_948	ec_927	ec_45	ec_93	ec_113	ec_254	ec_231	ec_171	ec_267	ec_114	ec_200	ec_813	ec_121	ec_873	ec_78	ec_382	ec_145	ec_316	ec_286	ec_32	ec_434	ec_928	ec_669	ec_1028	ec_719	ec_789	ec_167	ec_647	ec_837	ec_432	ec_995	ec_690	ec_673	ec_187	ec_760	ec_429	ec_932	ec_922	ec_717	ec_412	ec_609	ec_627	ec_456	ec_757	ec_519	ec_462	ec_524	ec_976	ec_477	ec_836	ec_525	ec_364	ec_1
ec_373	0	0.00410778661267964	0.00604926532822028	0.00492671219410744	0.00410732577823534	0.00368733027568068	0.00574310375894785	0.00781916344484028	0.00908803645106364	0.039441309690757	0.040258385591191	0.0406749450775423	0.0376450663628868	0.0387518407940173	0.0391951720732308	0.0726564098889927	0.0745992053336091	0.0882784222732174	0.0906150769501205	0.0949565215191189	0.101084276476178	0.103220574449745	0.102936650795616	0.101083443312207	0.101490907149849	0.0982098028235198	0.0985048844771715	0.0958113592482821	0.0930864793706495	0.102622020067519	0.101122312291864	0.111538254203974	0.106022686415412	0.103929887114198	0.106470943478216	0.105617496693574	0.104775103209924	0.0960683171451167	0.0983241647440201	0.1961496641288	0.142899787085884	0.140844198446685	0.140854242126843	0.140496125892151	0.142563194669091	0.14256175181061	0.142561600527468	0.144908491025313	0.146961853085716	0.14531542883261	0.144497894431476	0.144573965542529	0.144984004974357	0.142050530111147	0.157271027008171	0.137510176304815	0.137729317599575	0.139363599869322	0.139768932197112	0.140600859984148	0.111021551687029	0.11142567251542	0.0964784188997027	0.0997823961051213	0.102604990503386	0.101968980456468	0.00764172247065396	0.00928022354916361	0.00890845756066222	0.0101586893790836	0.00928233032404905	0.00623098909200036	0.00642045025512602	0.00574130380468473	0.00656874734240923	0.00615329486566986	0.0107013680903948	0.00656969700702715	0.00614994357894665	0.00574059285292414	0.00863471483181631	0.00698325616402932	0.00532703809315739	0.00656928632348961	0.00738147948790822	0.00655367645155009	0.00614577457195247	0.00738092572360316	0.00450933707132009	0.0065579463822763	0.00615117247062476	0.00574428064415992	0.00491543827875701	0.00450768005000991
ec_608	0.00410778661267964	0	0.00605563149917756	0.00493307836506472	0.00411369194919261	0.00369569644763801	0.00575146993090518	0.00782752961679761	0.00909640262302097	0.0394496758627143	0.0402667517631483	0.0406833112494996	0.0376534325348441	0.0387602069659747	0.0392035382451882	0.07266477606095	0.0746075715055665	0.0882867884451748	0.0906234431220778	0.0949648876910762	0.101092642648136	0.103228940621702	0.102945016967574	0.101091809484164	0.101499273321806	0.0982181689954772	0.0985132506491289	0.0958197254202394	0.0930948455426068	0.102630386239477	0.101130678463821	0.111546620375931	0.106031052587369	0.103938253286155	0.106479309650173	0.105625862865531	0.104783469381882	0.096076683317074	0.0983325309159775	0.196158030300758	0.142908153257841	0.140852564618642	0.1408626082988	0.140504492064109	0.142571560841049	0.142570117982567	0.142569966699425	0.144916857197271	0.146970219257674	0.145323795004567	0.144506260603433	0.144582331714486	0.144992371146314	0.142058896283104	0.157279393180129	0.137518542476773	0.137737683771533	0.139371966041279	0.139777298369069	0.140609226156105	0.111029917858987	0.111434038687377	0.09648678507166	0.0997907622770787	0.102613356675343	0.101977346628425	0.00765008864261129	0.00928858972112095	0.00891682373261956	0.0101670555510409	0.00929069649600638	0.0062393552639577	0.00642881642708335	0.00574966997664207	0.00657711351436657	0.0061616610376272	0.0107097342623521	0.00657806317898448	0.00615830975090398	0.00574895902488148	0.00864308100377364	0.00699162233598666	0.00533540426511472	0.00657765249544695	0.00738984565986555	0.00656204262350743	0.0061541407439098	0.00738929189556049	0.00451770324327743	0.00656631255423363	0.00615953864258209	0.00575264681611725	0.00492380445071435	0.00451604622196725
ec_513	0.00604926532822028	0.00605563149917756	0	0.00413289336272827	0.00494932579448696	0.00563717516317865	0.00769294864644582	0.00976900833233825	0.0110378813385616	0.041391154578255	0.0422082304786889	0.0426247899650402	0.0395949112503847	0.0407016856815153	0.0411450169607288	0.0746062547764906	0.0765490502211071	0.0902282671607154	0.0925649218376184	0.0969063664066169	0.103034121363676	0.105170419337243	0.104886495683114	0.103033288199705	0.103440752037347	0.100159647711018	0.100454729364669	0.0977612041357801	0.0950363242581475	0.104571864955017	0.103072157179362	0.113488099091472	0.10797253130291	0.105879732001696	0.108420788365714	0.107567341581072	0.106724948097422	0.0980181620326147	0.100274009631518	0.198099509016298	0.144849631973382	0.142794043334183	0.142804087014341	0.142445970779649	0.144513039556589	0.144511596698107	0.144511445414966	0.146858335912811	0.148911697973214	0.147265273720108	0.146447739318974	0.146523810430027	0.146933849861855	0.144000374998645	0.159220871895669	0.139460021192313	0.139679162487073	0.14131344475682	0.14171877708461	0.142550704871646	0.112971396574527	0.113375517402918	0.0984282637872007	0.101732240992619	0.104554835390884	0.103918825343966	0.00959156735815193	0.0112300684366616	0.0108583024481602	0.0121085342665816	0.011232175211547	0.00818083397949833	0.00837029514262399	0.0076911486921827	0.0085185922299072	0.00810313975316784	0.0126512129778927	0.00851954189452512	0.00809978846644462	0.00769043774042212	0.0105845597193143	0.0089331010515273	0.00727688298065536	0.00851913121098758	0.00933132437540619	0.00850352133904806	0.00809561945945044	0.00933077061110113	0.00645918195881807	0.00850779126977427	0.00810101735812273	0.00769412553165789	0.00686528316625499	0.00645752493750788
ec_137	0.00492671219410744	0.00493307836506472	0.00413289336272827	0	0.00382677266037412	0.00451462202906581	0.00657039551233298	0.00864645519822541	0.00991532820444877	0.0402686014441421	0.0410856773445761	0.0415022368309274	0.0384723581162719	0.0395791325474025	0.040022463826616	0.0734837016423778	0.0754264970869943	0.0891057140266026	0.0914423687035056	0.095783813272504	0.101911568229563	0.10404786620313	0.103763942549001	0.101910735065592	0.102318198903234	0.099037094576905	0.0993321762305567	0.0966386510016672	0.0939137711240346	0.103449311820904	0.101949604045249	0.112365545957359	0.106849978168797	0.104757178867583	0.107298235231601	0.106444788446959	0.105602394963309	0.0968956088985018	0.0991514564974053	0.196976955882185	0.143727078839269	0.14167149020007	0.141681533880228	0.141323417645536	0.143390486422476	0.143389043563995	0.143388892280853	0.145735782778698	0.147789144839101	0.146142720585995	0.145325186184861	0.145401257295914	0.145811296727742	0.142877821864532	0.158098318761557	0.138337468058201	0.138556609352961	0.140190891622707	0.140596223950497	0.141428151737533	0.111848843440415	0.112252964268805	0.0973057106530878	0.100609687858506	0.103432282256771	0.102796272209853	0.00846901422403909	0.0101075153025487	0.00973574931404735	0.0109859811324687	0.0101096220774342	0.00705828084538549	0.00724774200851115	0.00656859555806986	0.00739603909579436	0.00698058661905499	0.0115286598437799	0.00739698876041228	0.00697723533233178	0.00656788460630927	0.00946200658520144	0.00781054791741445	0.00615432984654251	0.00739657807687474	0.00820877124129335	0.00738096820493522	0.0069730663253376	0.00820821747698829	0.00533662882470522	0.00738523813566143	0.00697846422400989	0.00657157239754504	0.00574273003214214	0.00533497180339504
ec_156	0.00410732577823534	0.00411369194919261	0.00494932579448696	0.00382677266037412	0	0.00369523561319371	0.00575100909646088	0.0078270687823533	0.00909594178857666	0.03944921502827	0.040266290928704	0.0406828504150553	0.0376529717003998	0.0387597461315304	0.0392030774107439	0.0726643152265057	0.0746071106711221	0.0882863276107305	0.0906229822876335	0.0949644268566319	0.101092181813691	0.103228479787258	0.102944556133129	0.10109134864972	0.101498812487362	0.0982177081610329	0.0985127898146845	0.0958192645857951	0.0930943847081625	0.102629925405032	0.101130217629377	0.111546159541487	0.106030591752925	0.103937792451711	0.106478848815729	0.105625402031087	0.104783008547437	0.0960762224826297	0.0983320700815331	0.196157569466313	0.142907692423397	0.140852103784198	0.140862147464356	0.140504031229664	0.142571100006604	0.142569657148123	0.142569505864981	0.144916396362826	0.146969758423229	0.145323334170123	0.144505799768989	0.144581870880042	0.14499191031187	0.14205843544866	0.157278932345685	0.137518081642328	0.137737222937088	0.139371505206835	0.139776837534625	0.140608765321661	0.111029457024542	0.111433577852933	0.0964863242372157	0.0997903014426344	0.102612895840899	0.101976885793981	0.00764962780816698	0.00928812888667664	0.00891636289817525	0.0101665947165966	0.00929023566156208	0.00623889442951339	0.00642835559263904	0.00574920914219776	0.00657665267992226	0.00616120020318289	0.0107092734279078	0.00657760234454018	0.00615784891645967	0.00574849819043717	0.00864262016932934	0.00699116150154235	0.00533494343067041	0.00657719166100264	0.00738938482542124	0.00656158178906312	0.00615367990946549	0.00738883106111619	0.00451724240883312	0.00656585171978933	0.00615907780813779	0.00575218598167294	0.00492334361627004	0.00451558538752294
ec_84	0.00368733027568068	0.00369569644763801	0.00563717516317865	0.00451462202906581	0.00369523561319371	0	0.00451587451045546	0.00659193419634789	0.00786080720257125	0.0382140804422646	0.0390311563426986	0.0394477158290499	0.0364178371143944	0.037524611545525	0.0379679428247385	0.0714291806405003	0.0733719760851167	0.087051193024725	0.0893878477016281	0.0937292922706265	0.0998570472276859	0.101993345201253	0.101709421547124	0.0998562140637147	0.100263677901357	0.0969825735750274	0.0972776552286791	0.0945841299997897	0.0918592501221571	0.101394790819027	0.0998950830433714	0.110311024955481	0.104795457166919	0.102702657865706	0.105243714229724	0.104390267445081	0.103547873961432	0.0948410878966243	0.0970969354955277	0.194922434880308	0.141672557837391	0.139616969198192	0.139627012878351	0.139268896643659	0.141335965420599	0.141334522562117	0.141334371278976	0.143681261776821	0.145734623837224	0.144088199584118	0.143270665182983	0.143346736294037	0.143756775725864	0.140823300862654	0.156043797759679	0.136282947056323	0.136502088351083	0.13813637062083	0.138541702948619	0.139373630735656	0.109794322438537	0.110198443266928	0.0952511896512103	0.0985551668566289	0.101377761254894	0.100741751207976	0.00641449322216157	0.00805299430067122	0.00768122831216984	0.00893146013059119	0.00805510107555666	0.00500375984350797	0.00519322100663363	0.00451407455619234	0.00534151809391684	0.00492606561717748	0.00947413884190239	0.00534246775853476	0.00492271433045426	0.00451336360443176	0.00740748558332392	0.00575602691553693	0.004099808844665	0.00534205707499722	0.00615425023941583	0.0053264472030577	0.00491854532346008	0.00615369647511077	0.00328210782282771	0.00533071713378391	0.00492394322213237	0.00451705139566753	0.00368820903026463	0.00328045080151752
ec_436	0.00574310375894785	0.00575146993090518	0.00769294864644582	0.00657039551233298	0.00575100909646088	0.00451587451045546	0	0.00453257598504651	0.00719083746070573	0.0375441107003991	0.0383611866008331	0.0387777460871844	0.0357478673725289	0.0368546418036594	0.0372979730828729	0.0707592108986348	0.0727020063432512	0.0863812232828595	0.0887178779597626	0.093059322528761	0.0991870774858204	0.101323375459387	0.101039451805258	0.0991862443218492	0.099593708159491	0.0963126038331619	0.0966076854868136	0.0939141602579242	0.0911892803802916	0.100724821077161	0.0992251133015059	0.109641055213616	0.104125487425054	0.10203268812384	0.104573744487858	0.103720297703216	0.102877904219566	0.0941711181547588	0.0964269657536622	0.194252465138442	0.141002588095526	0.138946999456327	0.138957043136485	0.138598926901793	0.140665995678733	0.140664552820252	0.14066440153711	0.143011292034955	0.145064654095358	0.143418229842252	0.142600695441118	0.142676766552171	0.143086805983999	0.140153331120789	0.155373828017814	0.135612977314458	0.135832118609217	0.137466400878964	0.137871733206754	0.13870366099379	0.109124352696672	0.109528473525062	0.0945812199093448	0.0978851971147634	0.100707791513028	0.10007178146611	0.00574452348029605	0.00738302455880571	0.00701125857030432	0.00826149038872568	0.00738513133369115	0.00433379010164246	0.00452325126476811	0.0057448375111038	0.0065722810488283	0.00615682857208893	0.0107049017968138	0.00657323071344621	0.00615347728536571	0.00574412655934321	0.00863824853823537	0.00698678987044839	0.00533057179957645	0.00657282002990868	0.00738501319432728	0.00655721015796916	0.00614930827837153	0.00738445943002223	0.00451287077773916	0.00656148008869537	0.00615470617704383	0.00574781435057898	0.00491897198517608	0.00451121375642898
ec_712	0.00781916344484028	0.00782752961679761	0.00976900833233825	0.00864645519822541	0.0078270687823533	0.00659193419634789	0.00453257598504651	0	0.00926689714659816	0.0396201703862915	0.0404372462867255	0.0408538057730768	0.0378239270584213	0.0389307014895519	0.0393740327687654	0.0728352705845272	0.0747780660291436	0.088457282968752	0.090793937645655	0.0951353822146534	0.101263137171713	0.10339943514528	0.103115511491151	0.101262304007742	0.101669767845383	0.0983886635190544	0.098683745172706	0.0959902199438166	0.093265340066184	0.102800880763054	0.101301172987398	0.111717114899508	0.106201547110946	0.104108747809733	0.106649804173751	0.105796357389108	0.104953963905459	0.0962471778406512	0.0985030254395547	0.196328524824335	0.143078647781418	0.141023059142219	0.141033102822378	0.140674986587686	0.142742055364626	0.142740612506144	0.142740461223003	0.145087351720848	0.147140713781251	0.145494289528145	0.14467675512701	0.144752826238064	0.145162865669891	0.142229390806681	0.157449887703706	0.13768903700035	0.13790817829511	0.139542460564857	0.139947792892646	0.140779720679682	0.111200412382564	0.111604533210954	0.0966572795952372	0.0999612568006558	0.102783851198921	0.102147841152003	0.00782058316618848	0.00945908424469813	0.00908731825619675	0.0103375500746181	0.00946119101958357	0.00640984978753488	0.00659931095066054	0.00782089719699623	0.00864834073472072	0.00823288825798136	0.0127809614827063	0.00864929039933864	0.00822953697125814	0.00782018624523564	0.0107143082241278	0.00906284955634082	0.00740663148546888	0.00864887971580111	0.00946107288021971	0.00863326984386158	0.00822536796426396	0.00946051911591465	0.00658893046363159	0.00863753977458779	0.00823076586293625	0.00782387403647141	0.00699503167106851	0.0065872734423214
ec_820	0.00908803645106364	0.00909640262302097	0.0110378813385616	0.00991532820444877	0.00909594178857666	0.00786080720257125	0.00719083746070573	0.00926689714659816	0	0.0400746540964761	0.0408917299969101	0.0413082894832614	0.0382784107686059	0.0393851851997364	0.03982851647895	0.0732897542947118	0.0752325497393282	0.0889117666789365	0.0912484213558396	0.095589865924838	0.101717620881897	0.103853918855464	0.103569995201335	0.101716787717926	0.102124251555568	0.0988431472292389	0.0991382288828906	0.0964447036540012	0.0937198237763686	0.103255364473238	0.101755656697583	0.112171598609693	0.106656030821131	0.104563231519917	0.107104287883935	0.106250841099293	0.105408447615643	0.0967016615508358	0.0989575091497392	0.196783008534519	0.143533131491603	0.141477542852404	0.141487586532562	0.14112947029787	0.14319653907481	0.143195096216329	0.143194944933187	0.145541835431032	0.147595197491435	0.145948773238329	0.145131238837195	0.145207309948248	0.145617349380076	0.142683874516866	0.157904371413891	0.138143520710535	0.138362662005294	0.139996944275041	0.140402276602831	0.141234204389867	0.111654896092749	0.112059016921139	0.0971117633054218	0.10041574051084	0.103238334909105	0.102602324862187	0.00827506687637306	0.00991356795488271	0.00954180196638133	0.0107920337848027	0.00991567472976815	0.00686433349771946	0.00705379466084512	0.00908977020321958	0.00991721374094408	0.00950176126420472	0.0140498344889296	0.009918163405562	0.0094984099774815	0.009089059251459	0.0119831812303512	0.0103317225625642	0.00867550449169224	0.00991775272202446	0.0107299458864431	0.00990214285008494	0.00949424097048732	0.010729392122138	0.00785780346985494	0.00990641278081115	0.00949963886915961	0.00909274704269477	0.00826390467729187	0.00785614644854476
ec_700	0.039441309690757	0.0394496758627143	0.041391154578255	0.0402686014441421	0.03944921502827	0.0382140804422646	0.0375441107003991	0.0396201703862915	0.0400746540964761	0	0.00246433386763511	0.0028808933539864	0.00504760517668669	0.00615437960781727	0.00659771088703078	0.0702595342770497	0.0722023297216662	0.0858815466612745	0.0882182013381775	0.0925596459071759	0.0986874008642353	0.100823698837802	0.100539775183673	0.0986865677002641	0.099094031537906	0.0958129272115769	0.0961080088652286	0.0934144836363392	0.0906896037587065	0.100225144455576	0.0987254366799208	0.109141378592031	0.103625810803469	0.101533011502255	0.104074067866273	0.103220621081631	0.102378227597981	0.0936714415331737	0.0959272891320772	0.193752788516857	0.140502911473941	0.138447322834742	0.1384573665149	0.138099250280208	0.140166319057148	0.140164876198667	0.140164724915525	0.14251161541337	0.144564977473773	0.142918553220667	0.142101018819533	0.142177089930586	0.142587129362414	0.139653654499204	0.154874151396229	0.135113300692873	0.135332441987632	0.136966724257379	0.137372056585169	0.138203984372205	0.108624676075086	0.109028796903477	0.0940815432877597	0.0973855204931784	0.100208114891443	0.0995721048445252	0.0350407376801482	0.0375184589463179	0.0371466929578165	0.0383969247762379	0.0375205657212034	0.0354933668918024	0.0365016133034054	0.0394430434429129	0.0402704869806374	0.0398550345038981	0.044403107728623	0.0402714366452553	0.0398516832171748	0.0394423324911523	0.0423364544700445	0.0406849958022575	0.0390287777313856	0.0402710259617178	0.0410832191261364	0.0402554160897783	0.0398475142101807	0.0410826653618314	0.0382110767095483	0.0402596860205045	0.039852912108853	0.0394460202823881	0.0386171779169852	0.0382094196882381
