ID	CRISPRtype	MLST	Ambiguous
ef00001		1242	
ef00002	II-A	-	
ef00003		-	
ef00004		-	
ef00005		372	
ef00006		1108	
ef00007		372	
ef00008		178	
ef00009		-	
ef00010		21	
ef00011		94	
ef00012		32	
ef00013		-	
ef00014		822	
ef00015		841	
ef00016	II-A	-	
ef00017		-	
ef00018		-	
ef00019		-	
ef00020		60	
ef00021	II-A	624	
ef00022		-	
ef00023		-	
ef00024	II-A	-	
ef00025		361	
ef00026		-	
ef00027		55	
ef00028		94	
ef00029		1031	
ef00030		60	
ef00031		-	
ef00033	II-A	-	
ef00034		22	
ef00035		695	
ef00036		-	
ef00037		-	
ef00038		19	
ef00039		94	
ef00040		19	
ef00041		-	
ef00042	II-A	328	
ef00043		1262	
ef00044		-	
ef00045	II-A	623	
ef00046		94	
ef00047	II-A	623	
ef00048	II-A	623	
ef00049	II-A	-	
ef00050		253	
ef00051		19	
ef00052		-	
ef00053		-	
ef00054		361	
ef00055		1216	
ef00056		800	
ef00057		94	
ef00058		117	
ef00059		664	
ef00060		117	
ef00061		117	
ef00062		117	
ef00063		117	
ef00064		117	
ef00065		117	
ef00066		-	
ef00067		117	
ef00068		117	
ef00069		117	
ef00070		1032	
ef00071		117	
ef00072		117	
ef00073		117	
ef00074		117	
ef00075		117	
ef00076		117	
ef00077		117	
ef00078		117	
ef00079		80	
ef00080		117	
ef00081		117	
ef00082		982	
ef00083		117	
ef00084		117	
ef00085		117	
ef00086		117	
ef00087		1032	
ef00088		80	
ef00089		117	
ef00090		117	
ef00091		117	
ef00092		117	
ef00093		117	
ef00094		117	
ef00095		117	
ef00096		117	
ef00097		664	
ef00098		117	
ef00099		664	
ef00100		117	
ef00101		117	
ef00102		117	
ef00103		117	
ef00104		80	
ef00105		117	
ef00106		117	
ef00107		117	
ef00108		117	
ef00109		117	
ef00110		117	
ef00111		117	
ef00112		1032	
ef00113		117	
ef00114		80	
ef00115		117	
ef00116		117	
ef00117		18	
ef00118		117	
ef00119		117	
ef00120		17	
ef00121		117	
ef00122		117	
ef00123		117	
ef00124		117	
ef00125		117	
ef00126		117	
ef00127		117	
ef00128		117	
