ID	CRISPRtype	MLST	Ambiguous
kp00001		395	
kp00002		258	
kp00003		340	
kp00004		11	
kp00005		11	
kp00006		11	
kp00007		11	
kp00008		11	
kp00009		11	
kp00010		11	
kp00011		11	
kp00012		11	
kp00013		11	
kp00014		11	
kp00015		11	
kp00016		11	
kp00017		11	
kp00018		11	
kp00019		11	
kp00020		11	
kp00021		11	
kp00022		11	
kp00023		11	
kp00024		11	
kp00025		11	
kp00026		11	
kp00027		11	
kp00028		11	
kp00029		11	
kp00030		11	
kp00031		11	
kp00032		11	
kp00033		11	
kp00034		11	
kp00035		11	
kp00036		11	
kp00037		11	
kp00038		11	
kp00039		11	
kp00040		11	
kp00041		11	
kp00042		11	
kp00043		11	
kp00044		11	
kp00045		11	
kp00046		11	
kp00047		11	
kp00048		11	
kp00049		11	
kp00050		11	
kp00051		11	
kp00052		11	
kp00053		11	
kp00054		11	
kp00055		11	
kp00056		11	
kp00057		11	ambiguous
kp00058		11	
kp00059		11	
kp00060		11	
kp00061		11	
kp00062		11	
kp00063		11	
kp00064		11	
kp00065		11	
kp00066		11	
kp00067		11	
kp00068		11	
kp00069		11	
kp00070		11	
kp00071		11	
kp00072		11	
kp00073		11	
kp00074		11	
kp00075		11	
kp00076		11	
kp00077		11	
kp00078		11	
kp00079		11	
kp00080		11	
kp00081		11	
kp00082		11	
kp00083		11	
kp00084		11	
kp00085		11	
kp00086		11	
kp00087		11	
kp00088		11	
kp00089		11	
kp00090		11	
kp00091		11	
kp00092		11	
kp00093		11	
kp00094		11	
kp00095		11	
kp00096		11	
kp00097		11	
kp00098		11	
kp00099		11	
kp00100		11	
kp00101		11	
kp00102		11	
kp00103		11	
kp00104		11	
kp00105		11	
kp00106		11	
kp00107		11	ambiguous
kp00108		11	
kp00109		11	
kp00110		11	
kp00111		11	
kp00112		11	
kp00113		11	
kp00114		11	
kp00115		11	
kp00116		11	
kp00117		11	
kp00118		11	
kp00119		11	
kp00120		11	
kp00121		11	
kp00122		11	
kp00123		11	
kp00124		11	
kp00125		11	
kp00126		11	
kp00127		11	
kp00128		11	
kp00129		11	
kp00130		11	
kp00131		11	
