ID	CRISPRtype	MLST	Ambiguous
ab00001		2	
ab00002		2	
ab00003		2	
ab00004		2	
ab00005		-	
ab00006		2	
ab00007		-	
ab00008		-	
ab00009		2	
ab00010		2	
ab00011		2	
ab00012	I-Fb	151	
ab00013		34	ambiguous
ab00014		2	
ab00015		34	
ab00016	I-Fa	-	
ab00017		130	ambiguous
ab00018	I-Fb	151	
ab00019		49	ambiguous
ab00020	I-Fb	213	
ab00021		34	ambiguous
ab00022	I-Fb	235	
ab00023	I-Fb	235	
ab00024		33	ambiguous
ab00025	I-Fb	235	
ab00026		40	
ab00027		34	ambiguous
ab00028		40	
ab00029		33	ambiguous
ab00030	I-Fb	213	
ab00031	I-Fa	-	
ab00032	I-Fb	213	
ab00033		2	
ab00034		2	ambiguous
ab00035		2	
ab00036		2	
ab00037		2	
ab00038		2	
ab00039		490	
ab00040		-	
ab00041	I-Fa	221	
ab00042		516	
ab00043	I-Fb	25	
ab00044	I-Fb	213	
ab00045	I-Fb	213	
ab00046		34	ambiguous
ab00047		-	ambiguous
ab00048	I-Fa,I-Fb	1136	
ab00049		727	ambiguous
ab00050	I-Fb	213	
ab00051	I-Fb	126	
ab00052	I-Fb	213	
ab00053	I-Fb	456	
ab00054		821	
ab00055		2	
ab00056		-	ambiguous
ab00057		266	
ab00058		2	
ab00059		1548	
ab00060		2	
ab00061	I-Fa	-	
ab00062	I-Fb	213	
ab00063		34	ambiguous
ab00064		1133	
ab00065		46	
ab00066		2	
ab00067		2	
ab00068		203	
ab00069	I-Fb	213	
ab00070		32	
ab00071		360	ambiguous
ab00072	I-Fb	113	
ab00073		2	
ab00074		2	
ab00075		2	
ab00076	I-Fa,I-Fb	138	
ab00077		-	
ab00078	I-Fb	126	
ab00079	I-Fb	33	
ab00080	I-Fa	-	
ab00081		1646	
ab00082	I-Fa	-	
ab00083		-	
ab00084	I-Fb	126	
ab00085		2	
ab00086		33	ambiguous
ab00087	I-Fa	-	
ab00088		2	
ab00089	I-Fb	-	
ab00090	I-Fa	647	
ab00091		2	
ab00092	I-Fa	152	
ab00093		1548	ambiguous
ab00094		33	ambiguous
ab00095		33	
ab00096	I-Fb	193	
ab00097	I-Fa	334	
ab00098	I-Fb	1	
ab00099	I-Fb	33	
ab00100		241	
ab00101		-	
ab00102	I-Fa,I-Fb	152	
ab00103	I-Fa	647	
ab00104		46	
ab00105	I-Fa	-	
ab00106	I-Fa	-	
ab00107	I-Fa,I-Fb	152	
ab00108	I-Fa	-	
ab00109		33	ambiguous
ab00110		-	
ab00111		236	
ab00112		2	
ab00113		490	
ab00114	I-Fb	-	
ab00115	I-Fb	456	
ab00116		331	
ab00117	I-Fb	235	
ab00118	I-Fb	33	
ab00119	I-Fb	424	
ab00120	I-Fa	218	
ab00121		-	
ab00122	I-Fb	-	
ab00123		33	ambiguous
ab00124		33	ambiguous
ab00125		2	
ab00126		490	
ab00127	I-Fb	33	
ab00128	I-Fa,I-Fb	138	
ab00129	I-Fb	151	
ab00130	I-Fb	-	
ab00131		1464	ambiguous
ab00132	I-Fa	218	
ab00133		34	ambiguous
ab00134		2	
ab00135	I-Fb	193	
ab00136		130	ambiguous
ab00137	I-Fa	334	
ab00138	I-Fb	213	
ab00139	I-Fb	213	
ab00140	I-Fb	193	
ab00141	I-Fa	237	
ab00142		130	ambiguous
ab00143		924	ambiguous
ab00144		34	ambiguous
ab00145		-	
ab00146	I-Fa,I-Fb	848	
ab00147	I-Fa	218	
ab00148		36	
ab00149		33	ambiguous
ab00150	I-Fa,I-Fb	152	
ab00151		145	
ab00152	I-Fa,I-Fb	152	
ab00153		40	
ab00154	I-Fb	25	
ab00155	I-Fa	848	
ab00156		216	
ab00157	I-Fa,I-Fb	152	
ab00158		727	ambiguous
ab00159		727	ambiguous
ab00160	I-Fa	118	
ab00161	I-Fa	138	
ab00162	I-Fa,I-Fb	152	
ab00163	I-Fb	193	
ab00164	I-Fb	193	
ab00165	I-Fa	138	
ab00166	I-Fb	-	
ab00167		-	ambiguous
ab00168		2	
ab00169		2	
ab00170		2	
ab00171		2	
ab00172	I-Fa,I-Fb	152	
ab00173		2	
ab00174		2	
ab00175		241	
ab00176		2	
ab00177		2	
ab00178		2	
ab00179	I-Fb	33	
ab00180	I-Fa	150	
ab00181	I-Fa,I-Fb	-	
ab00182	I-Fb	1433	
ab00183		40	
ab00184		216	ambiguous
ab00185	I-Fa	237	
ab00186	I-Fb	213	
ab00187	I-Fb	-	
ab00188	I-Fa	218	
ab00189		203	
ab00190		-	
ab00191		134	
ab00192	I-Fa	221	
ab00193		490	
ab00194		42	
ab00195		2	
ab00196		1102	ambiguous
ab00197		40	
ab00198		203	
ab00199	I-Fa,I-Fb	-	
ab00200	I-Fa	-	
ab00201	I-Fb	106	
ab00202		2	
ab00203	I-Fa	237	
ab00204		2	
ab00205		2	
ab00206		499	
ab00207		78	ambiguous
ab00208		78	ambiguous
ab00209		2	
ab00210		2	
ab00211		2	
ab00212		2	
ab00213	I-Fb	1	
ab00214		400	
ab00215		400	
ab00216		2	
ab00217		571	
ab00218		2	
ab00219		2	
ab00220		400	
ab00221		2	
ab00222	I-Fb	1	
ab00223		2	
ab00224		604	
ab00225		2	
ab00226	I-Fb	1	
ab00227	I-Fb	81	
ab00228		2	
ab00229		2	
ab00230		2	
ab00231		2	
ab00232		2	
ab00233		2	
ab00234		2	
ab00235		2	
ab00236		2	
ab00237		2	
ab00238		2	
ab00239	I-Fb	19	
ab00240		2	
ab00241		2	
ab00242		2	
ab00243		2	
ab00244		2	
ab00245		45	ambiguous
ab00246		2	
ab00247		2	
ab00248		2	
ab00249		2	
ab00250		570	
ab00251	I-Fb	1	
ab00252		1142	
ab00253		2	
ab00254		2	
ab00255		164	
ab00256		2	
ab00257		2	
ab00258		2	
ab00259		164	
ab00260		78	ambiguous
ab00261		2	
ab00262		2	
ab00263		2	
ab00264		15	ambiguous
ab00265	I-Fb	1	
ab00266		187	
ab00267		2	
ab00268		2	
ab00269		45	ambiguous
ab00270		2	
ab00271		2	
ab00272		2	
ab00273		2	
ab00274		2	
ab00275		78	
ab00276		2	
ab00277		2	
ab00278		2	
ab00279		2	
ab00280		2	
ab00281		1091	
ab00282		499	
ab00283		2	
ab00284		2	
ab00285		2	
ab00286		2	
ab00287		2	
ab00288		2	
ab00289		2	
ab00290		2	
ab00291		2	
ab00292		2	
ab00293		2	
ab00294		2	
ab00295		1142	
ab00296		2	
ab00297		2	
ab00298		2	
ab00299		499	
ab00300		-	
ab00301		499	
ab00302		-	
ab00303		2	
ab00304		2	
ab00305		1142	
ab00306		2	
ab00307		1142	
ab00308		1142	
ab00309		1142	
ab00310		1142	
ab00311		1142	
ab00312		1142	
ab00313		2	
ab00314		499	
ab00315		1142	
ab00316		2	
ab00317		2	
ab00318		2	
ab00319		499	
ab00320		2	
ab00321		2	
ab00322		2	
ab00323		499	
ab00324		2	
ab00325		2	
ab00326		2	
ab00327		2	
ab00328		2	
ab00329		499	
ab00330		499	
ab00331		2	
ab00332		2	
ab00333		2	
ab00334		2	
ab00335		2	
ab00336		2	
ab00337		2	
ab00338		2	
ab00339		2	
ab00340		2	
ab00341		2	
ab00342		2	
ab00343		2	
ab00344		2	
ab00345		2	
ab00346		2	
ab00347		2	
ab00348		2	
ab00349		499	
ab00350		2	
ab00351		2	
ab00352		2	
ab00353		1142	
ab00354		2	
ab00355		2	
ab00356		2	
ab00357		2	
ab00358		2	
ab00359		15	ambiguous
ab00360		1142	
ab00361		2	
ab00362		2	
ab00363		2	
ab00364		2	
ab00365		2	
ab00366		2	
ab00367		2	
ab00368		16	
ab00369		2	
ab00370		2	
ab00371		46	
ab00372		2	
ab00373		2	
ab00374		499	
ab00375		2	
ab00376		2	
ab00377		2	
ab00378		1142	
ab00379		2	
ab00380		1142	
ab00381		2	
ab00382		1142	
ab00383	I-Fb	1	
ab00384		2	
ab00385		2	
ab00386		2	
ab00387		-	
ab00388		2	
ab00389		2	
ab00390		2	
ab00391		2	
ab00392		2	
ab00393		499	
ab00394		2	
ab00395		2	
ab00396		499	
ab00397		2	
ab00398		2	
ab00399		499	
ab00400	I-Fb	113	
ab00401		499	
ab00402		2	
ab00403		2	
ab00404	I-Fb	1	
ab00405		2	
ab00406		499	
ab00407		2	
ab00408		2	
ab00409		16	
ab00410		2	
ab00411		2	
ab00412		2	
ab00413		2	
ab00414		187	
ab00415		2	
ab00416		-	
ab00417		2	
ab00418		2	
ab00419		2	
ab00420		-	
ab00421		-	
ab00422		-	
ab00423		2	
ab00424		2	
ab00425		2	
ab00426		16	
ab00427	I-Fb	25	
ab00428	I-Fb	25	
ab00429		2	
ab00430		2	
ab00431		-	
ab00432		16	
ab00433		-	
ab00434		2	
ab00435		2	
ab00436		2	
ab00437		2	
ab00438		2	
ab00439		499	
ab00440		2	
ab00441		2	
ab00442		2	
ab00443		2	
ab00444		2	
ab00445		499	
ab00446		2	
ab00447		2	
ab00448		2	
ab00449		2	
ab00450		2	
ab00451		250	
ab00452		2	
ab00453		2	
ab00454		2	
ab00455		2	
ab00456		229	
ab00457		2	
ab00458		2	
ab00459		250	
ab00460		2	
ab00461		499	
ab00462		2	
ab00463		2	
ab00464		2	
ab00465		-	
ab00466		2	
ab00467		2	
ab00468		2	
ab00469		636	
ab00470		2	
ab00471		636	
ab00472		2	
ab00473		229	
ab00474		636	
ab00475		492	
ab00476		2	
ab00477	I-Fb	1	
ab00478		492	
ab00479		636	
ab00480		636	
ab00481		45	ambiguous
ab00482		45	ambiguous
ab00483		636	
ab00484		636	
ab00485		2	
ab00486		636	
ab00487	I-Fb	1	
ab00488		2	
ab00489		2	
ab00490		2	
ab00491		164	
ab00492		164	
ab00493		2	
ab00494		164	
ab00495	I-Fa	79	
ab00496		16	
ab00497		2	
ab00498		23	ambiguous
ab00499		2	
ab00500		2	
ab00501		2	
ab00502		2	
ab00503		2	
ab00504		2	
ab00505		2	
ab00506		78	
ab00507		2	
ab00508		78	
ab00509		2	
ab00510		2	
ab00511		499	
ab00512		2	
ab00513		-	
ab00514		2	
ab00515		499	
ab00516		1142	
ab00517		2	
ab00518		2	
ab00519		2	
ab00520		2	
ab00521		2	
ab00522		2	
ab00523		2	
ab00524		2	
ab00525		2	
ab00526		2	
ab00527	I-Fb	734	
ab00528	I-Fb	734	
ab00529	I-Fb	734	
ab00530		2	
ab00531		2	
ab00532		2	
ab00533		-	
ab00534	I-Fb	734	
ab00535		2	ambiguous
ab00536		2	
ab00537		2	
ab00538		2	
ab00539		2	
ab00540		2	
ab00541		149	
ab00542		2	
ab00543		2	
ab00544		2	
ab00545		2	
ab00546		2	
ab00547		2	
ab00548		-	
ab00549		2	
ab00550		724	
ab00551		2	
ab00552		2	
ab00553		2	
ab00554		2	
ab00555		2	
ab00556		2	
ab00557		2	
ab00558		2	
ab00559		2	
ab00560		2	
ab00561		2	
ab00562		2	
ab00563	I-Fb	1	
ab00564	I-Fa	16	
ab00565		2	
ab00566		2	
ab00567		2	
ab00568		10	
ab00569		2	
ab00570		2	
ab00571	I-Fb	623	
ab00572	I-Fb	81	
ab00573		2	
ab00574		2	
ab00575		2	
ab00576		2	
ab00577		575	
ab00578		2	
ab00579		2	
ab00580		2	
ab00581		2	
ab00582		2	
ab00583		2	
ab00584		2	
ab00585		2	
ab00586		2	
ab00587		2	
ab00588		2	
ab00589		15	ambiguous
ab00590		2	
ab00591		2	
ab00592	I-Fb	1	
ab00593		2	
ab00594		577	
ab00595		2	
ab00596		2	
ab00597		2	
ab00598		2	
ab00599		156	
ab00600		2	
ab00601		2	
ab00602		2	
ab00603	I-Fa	52	
ab00604		2	
ab00605		2	
ab00606		158	
ab00607		2	
ab00608		78	ambiguous
ab00609		577	
ab00610	I-Fb	25	
ab00611		78	ambiguous
ab00612		2	
ab00613		577	
ab00614		2	
ab00615		2	
ab00616		2	
ab00617		2	
ab00618		575	
ab00619		2	
ab00620		2	
ab00621		577	
ab00622		2	
ab00623		2	
ab00624		2	
ab00625		215	
ab00626		2	
ab00627		2	
ab00628		2	
ab00629		2	
ab00630		2	
ab00631		10	
ab00632		2	
ab00633		2	
ab00634		156	
ab00635		2	
ab00636		2	
ab00637		2	
ab00638		2	
ab00639		2	
ab00640		-	
ab00641		2	
ab00642	I-Fb	25	
ab00643		2	
ab00644		2	
ab00645		2	
ab00646		2	
ab00647	I-Fb	25	
ab00648		2	
ab00649		2	
ab00650		2	
ab00651		2	
ab00652		2	
ab00653		2	
ab00654		2	
ab00655		2	
ab00656		2	
ab00657		2	
ab00658	I-Fb	25	
ab00659	I-Fb	25	
ab00660		2	
ab00661		2	
ab00662		2	
ab00663		2	
ab00664		2	
ab00665		2	
ab00666	I-Fb	25	
ab00667		2	
ab00668		2	
ab00669		2	
ab00670		2	
ab00671		2	
ab00672		2	
ab00673		2	
ab00674		2	
ab00675		2	
ab00676		2	
ab00677		2	
ab00678		2	
ab00679		2	
ab00680		2	
ab00681	I-Fb	25	
ab00682		2	
ab00683		187	
ab00684		2	
ab00685		2	
ab00686		2	
ab00687		2	
ab00688		2	
ab00689		2	
ab00690		2	
ab00691		2	
ab00692		2	
ab00693		2	
ab00694		2	
ab00695		1537	
ab00696		1537	
ab00697		2	
ab00698		2	
ab00699		2	
ab00700		499	
ab00701		2	
ab00702		2	
ab00703		2	
ab00704		2	
ab00705		2	
ab00706		2	
ab00707		1091	
ab00708		2	
ab00709		1091	
ab00710		499	
ab00711		2	
ab00712		2	
ab00713		2	
ab00714		2	
ab00715		78	
ab00716		2	
ab00717		2	
ab00718		499	
ab00719		2	
ab00720		2	
ab00721		-	
ab00722		2	
ab00723		1091	
ab00724		2	
ab00725		2	
ab00726		2	
ab00727		2	
ab00728		2	
ab00729		2	
ab00730		2	
ab00731		-	
ab00732		2	
ab00733		2	
ab00734		2	
ab00735		2	
ab00736		2	
ab00737		2	
ab00738		2	
ab00739		2	
ab00740		2	
ab00741		2	
ab00742		2	
ab00743		2	
ab00744		2	
ab00745		2	
ab00746		2	
ab00747		2	
ab00748		2	
ab00749		2	
ab00750		2	
ab00751		2	
ab00752		2	
ab00753		2	
ab00754		2	
ab00755		2	
ab00756		2	
ab00757		2	
ab00758		2	
ab00759		2	
ab00760		2	
ab00761		2	
ab00762		2	
ab00763		2	
ab00764		2	
ab00765		2	
ab00766		499	
ab00767		2	
ab00768		2	
ab00769		2	
ab00770		2	
ab00771		78	
ab00772		1822	
ab00773		2	
ab00774		2	
ab00775		2	
ab00776		2	
ab00777		2	
ab00778		2	
ab00779		2	
ab00780		2	
ab00781		2	
ab00782		2	
ab00783		2	
ab00784		2	
ab00785		2	
ab00786		2	
ab00787		2	
ab00788		499	
ab00789		2	
ab00790		2	
ab00791		2	
ab00792		2	
ab00793		2	
ab00794		2	
ab00795		2	
ab00796		499	
ab00797		2	
ab00798		2	
ab00799		2	
ab00800		2	
ab00801		2	
ab00802		-	
ab00803		2	
ab00804		1091	
ab00805		2	
ab00806		2	
ab00807		2	
ab00808		499	
ab00809		2	
ab00810		2	
ab00811		2	
ab00812		2	
ab00813		2	
ab00814		2	
ab00815		2	
ab00816		2	
ab00817		2	
ab00818		1091	
ab00819		499	
ab00820		2	
ab00821		499	
ab00822		2	
ab00823		2	
ab00824		2	
ab00825		2	
ab00826		2	
ab00827		2	
ab00828		499	
ab00829		2	
ab00830		2	
ab00831		2	
ab00832		2	
ab00833		2	
ab00834		2	
ab00835		2	
ab00836		2	
ab00837		499	
ab00838		2	
ab00839		2	
ab00840		1091	
ab00841		2	
ab00842		2	
ab00843		2	
ab00844		2	
ab00845		2	
ab00846		2	
ab00847		2	
ab00848		499	
ab00849		499	
ab00850		499	
ab00851		2	
ab00852		2	
ab00853		499	
ab00854		2	
ab00855		499	
ab00856		2	
ab00857		499	
ab00858		2	
ab00859		2	
ab00860		2	
ab00861		2	
ab00862		499	
ab00863		499	
ab00864		78	
ab00865		2	
ab00866		2	
ab00867		2	
ab00868		499	
ab00869		2	
ab00870		2	
ab00871		2	
ab00872		499	
ab00873	I-Fa	79	
ab00874		499	
ab00875		2	
ab00876		2	
ab00877		2	
ab00878		499	
ab00879		79	ambiguous
ab00880		79	ambiguous
ab00881		79	ambiguous
ab00882	I-Fb	25	
ab00883		79	ambiguous
ab00884		79	ambiguous
ab00885		2	
ab00886	I-Fb	25	
ab00887		15	ambiguous
ab00888		79	ambiguous
ab00889		730	ambiguous
ab00890	I-Fb	25	
ab00891		79	ambiguous
ab00892		79	ambiguous
ab00893		79	ambiguous
ab00894		15	ambiguous
ab00895		1	
ab00896		79	ambiguous
ab00897		79	ambiguous
ab00898		15	ambiguous
ab00899		79	ambiguous
ab00900		79	ambiguous
ab00901		2	
ab00902		2	
ab00903		2	
ab00904	I-Fb	25	
ab00905		111	
ab00906		156	
ab00907		2	
ab00908		745	
ab00909		3	
ab00910		129	
ab00911		156	
ab00912		2	
ab00913		129	
ab00914	I-Fb	1	
ab00915	I-Fb	25	
ab00916		2	
ab00917		2	
ab00918	I-Fb	25	
ab00919		15	ambiguous
ab00920		243	
ab00921	I-Fa	79	
ab00922	I-Fa	79	
ab00923		85	
ab00924		2	
ab00925		2	
ab00926		2	
ab00927		2	
ab00928		2	
ab00929		2	
ab00930	I-Fb	25	
ab00931		2	
ab00932		85	
ab00933		2	
ab00934		2	
ab00935		2	
ab00936		2	
ab00937		318	ambiguous
ab00938		2	
ab00939		2	
ab00940		2	
ab00941		2	
ab00942		2	
ab00943		2	
ab00944		2	
ab00945		2	
ab00946		2	
ab00947		2	
ab00948	I-Fb	25	
ab00949		78	
ab00950	I-Fb	19	
ab00951		2	
ab00952		78	ambiguous
ab00953		238	ambiguous
ab00954		2	
ab00955		2	
ab00956	I-Fa	79	
ab00957	I-Fb	25	
ab00958		2	
ab00959	I-Fb	81	
ab00960		2	
ab00961		604	
ab00962		2	
ab00963		2	
ab00964		2	
ab00965		2	
ab00966		2	
ab00967		109	
ab00968		2	
ab00969		2	
ab00970		2	
ab00971		2	
ab00972		2	
ab00973		2	
ab00974		2	
ab00975		2	
ab00976		2	
ab00977		2	
ab00978		2	
ab00979		79	ambiguous
ab00980		2	
ab00981		2	
ab00982		2	
ab00983		2	
ab00984		2	
ab00985		2	
ab00986		2	
ab00987		2	
ab00988		2	
ab00989	I-Fb	25	
ab00990		3	
ab00991		3	
ab00992		2	
ab00993		-	
ab00994		412	
ab00995		2	
ab00996		2	
ab00997		2	
ab00998		2	
ab00999	I-Fb	1	
ab01000		2	
ab01001		2	
ab01002		2	
ab01003		2	
ab01004		2	
ab01005		2	
ab01006		156	
ab01007		2	
ab01008		15	ambiguous
ab01009		2	
ab01010		2	
ab01011		2	
ab01012		2	
ab01013		2	
ab01014		318	ambiguous
ab01015		406	
ab01016		15	ambiguous
ab01017		156	
ab01018		2	
ab01019		2	
ab01020		2	
ab01021		2	
ab01022		2	
ab01023		2	
ab01024		2	
ab01025		2	
ab01026		2	
ab01027		2	
ab01028		2	
ab01029		2	
ab01030		2	
ab01031		2	
ab01032		2	
ab01033		2	
ab01034		2	
ab01035		2	
ab01036		2	
ab01037		2	
ab01038		2	
ab01039		2	
ab01040		2	
ab01041		2	
ab01042		2	
ab01043		2	
ab01044		2	
ab01045		2	
ab01046		2	
ab01047		2	
ab01048		2	
ab01049		2	
ab01050		2	
ab01051		2	
ab01052		2	
ab01053		2	
ab01054		78	
ab01055		2	
ab01056		2	
ab01057		2	
ab01058		2	
ab01059		2	
ab01060		2	
ab01061		2	
ab01062		2	
ab01063		499	
ab01064		2	
ab01065		2	
ab01066		2	
ab01067		2	
ab01068		78	
ab01069		2	
ab01070		-	
ab01071		2	
ab01072		2	
ab01073		2	
ab01074		2	
ab01075		2	
ab01076		156	
ab01077		2	
ab01078		2	
ab01079		499	
ab01080		2	
ab01081		499	
ab01082		2	
ab01083		2	
ab01084		2	
