ID	CRISPRtype	MLST	Ambiguous
pa00001		162	
pa00002	I-E,I-F	1094	
pa00003	I-F	1763	
pa00004		2477	
pa00005	I-C	847	
pa00006	I-C	847	
pa00007	I-F	553	
pa00008	I-C,I-F	-	
pa00009	I-F	253	
pa00010		179	
pa00011	I-F	-	
pa00012		1636	
pa00013		179	
pa00014		260	
pa00015	I-F	244	
pa00016		-	
pa00017	I-F	253	
pa00018		1249	
pa00019	I-F,IV-A1	17	
pa00020		316	
pa00021		447	
pa00022	I-F	-	
pa00023	IV-A1	111	
pa00024	I-F,IV-A1	17	
pa00025	I-F	244	
pa00026	I-C	-	
pa00028		1209	
pa00029		1171	
pa00030	I-E	-	
pa00031		-	
pa00032	I-F	1097	
pa00033	I-F	253	
pa00034		348	ambiguous
pa00035		111	
pa00036		316	
pa00037		309	
pa00038	I-F	244	
pa00039		1209	
pa00040		-	
pa00041	I-E	532	
pa00042	I-F	-	
pa00043	I-F	17	
pa00044		390	
pa00045		-	
pa00046		282	ambiguous
pa00047		309	
pa00048		282	ambiguous
pa00049	I-F	-	
pa00050		-	ambiguous
pa00051	I-F	2641	
pa00052	I-E	198	
pa00053		463	
pa00054		348	ambiguous
pa00055		348	ambiguous
pa00056		485	ambiguous
pa00057	I-F	-	
pa00058	I-F	2023	
pa00059	IV-A1	277	
pa00060		-	
pa00061	IV-A1	-	
pa00062	IV-A1	-	
pa00063	I-E	198	
pa00064	I-F	253	
pa00065	I-F	312	
pa00066		-	
pa00067		-	
pa00068		-	
pa00069		671	
pa00070		463	
pa00071	I-F	17	
pa00072	I-F	17	
pa00073		485	ambiguous
pa00074	I-E,I-C	554	
pa00075	I-F	-	
pa00076	I-F	2662	
pa00077	IV-A1	282	
pa00078	I-E	-	
pa00079	I-F	253	
pa00080	I-F	244	
pa00081		2438	
pa00082		-	ambiguous
pa00083		308	ambiguous
pa00084	I-F,I-E	252	
pa00085		2604	
pa00086		447	
pa00087	I-F	253	
pa00088		-	
pa00089		-	
pa00090	I-F,I-E	252	
pa00091		308	ambiguous
pa00092		-	
pa00093		308	ambiguous
pa00094		-	
pa00095	I-F	253	
pa00096		-	
pa00097	I-F	253	
pa00098		309	
pa00099		-	
pa00100		446	
pa00101		179	
pa00102		-	ambiguous
pa00103		1816	
pa00104		282	ambiguous
pa00105		309	
pa00106		309	
pa00107	I-E	395	
pa00108		446	
pa00109		27	
pa00110		348	ambiguous
pa00111		677	
pa00112	I-F	386	
pa00113		164	
pa00114	I-E	111	
pa00115	I-C	282	
pa00116	I-F	253	
pa00117	I-C	282	
pa00118		309	
pa00119		508	
pa00120		966	
pa00121		245	
pa00122		164	
pa00123		27	
pa00124		966	
pa00125		282	ambiguous
pa00126	I-F	919	
pa00127		378	ambiguous
pa00128		378	ambiguous
pa00129		-	
pa00130	I-F	-	
pa00131	I-F	244	
pa00132	I-F	-	
pa00133	I-F	-	
pa00134	I-F	274	
pa00135	IV-A1	27	
pa00136		111	
pa00137	I-C	1129	
pa00138		-	
pa00139	I-F	274	
pa00140		1027	
pa00141	I-E,I-F	9	
pa00142		390	
pa00143	I-F	-	
pa00144		-	ambiguous
pa00145	I-F	439	
pa00146		111	
pa00147		-	ambiguous
pa00148		-	
pa00149		179	
pa00150		390	
pa00151		1706	ambiguous
pa00152		1248	
pa00153		932	
pa00154	I-F	17	
pa00155	I-C	1159	
pa00156		1029	
pa00157		175	ambiguous
pa00158		1029	
pa00159		2105	
pa00160	I-F	357	
pa00161		-	
pa00162	I-F	633	
pa00163		381	
pa00164	I-F	299	
pa00165	I-E	2629	
pa00166		155	
pa00167	I-F	865	
pa00168		27	
pa00169		460	ambiguous
pa00170	I-F	2851	
pa00171		460	ambiguous
pa00172		179	
pa00173		412	
pa00174		-	
pa00175		-	
pa00176		-	ambiguous
pa00177		560	ambiguous
pa00178	I-C	-	
pa00179	I-F	1638	
pa00180	I-F	244	
pa00181	I-F	-	
pa00182		564	ambiguous
pa00183	I-E	-	
pa00184		-	
pa00185	I-F	-	
pa00186		-	
pa00187		-	
pa00188	I-E	-	
pa00189		381	
pa00190	I-E	-	
pa00191	I-F	-	
pa00192		-	
pa00193		-	ambiguous
pa00194		348	ambiguous
pa00195		-	
pa00196	I-F	859	
pa00197		309	
pa00198		179	
pa00199		179	
pa00200		316	
pa00201	I-F	-	
pa00202	I-F	2192	
pa00203	I-F	-	
pa00204	I-F	-	
pa00205	I-F	-	
pa00206	I-F	-	
pa00207	I-F	480	
pa00208	IV-A1	-	
pa00209	I-F	845	
pa00210	I-F	845	
pa00211	I-E	1621	
pa00212	I-F	845	
pa00213	I-F	253	
pa00214	I-F	253	
pa00215	I-F	-	
pa00216	I-C,I-F	-	
pa00217	I-F	2933	
pa00218		390	
pa00219		390	
pa00220	IV-A1	381	
pa00221		260	
pa00222		2935	ambiguous
pa00223		381	
pa00224	I-F	241	
pa00225	I-F	253	
pa00226		-	ambiguous
pa00227	I-F	253	
pa00228	I-F	244	
pa00229		27	
pa00230	I-F	244	
pa00231	I-F	253	
pa00232		245	ambiguous
pa00233		27	
pa00234		207	ambiguous
pa00235	I-F,I-E	252	
pa00236		309	
pa00237	I-E	-	
pa00238		308	ambiguous
pa00239		155	
pa00240		308	ambiguous
pa00241		260	
pa00242	I-F	253	
pa00243		27	
pa00244		277	
pa00245	I-F	-	
pa00246	I-E	395	
pa00247	I-F	244	
pa00249		360	
pa00250		179	
pa00251	I-F	-	
pa00252		2421	
pa00253	I-F	-	
pa00254	I-F	2923	
pa00255	I-F	2923	
pa00256	I-C,I-F	-	
pa00257	I-F	116	
pa00258	I-E	111	
pa00259	I-F	17	
pa00260		664	
pa00261		360	
pa00262	I-F	17	
pa00263		-	
pa00264	I-F	253	
pa00265		451	ambiguous
pa00266		260	
pa00267		308	ambiguous
pa00269		360	
pa00270		316	
pa00272		27	
pa00273	IV-A2	309	
pa00274		1435	ambiguous
pa00275		155	
pa00276		296	ambiguous
pa00277	I-F	2572	
pa00278	I-F	2998	
pa00279	I-F	-	
pa00280		-	
pa00281	I-F	557	
pa00282	I-F	635	
pa00283	I-F	299	
pa00284		-	
pa00285	I-F	244	
pa00286	I-F	556	
pa00287		-	
pa00288	I-F	2997	
pa00289	I-F	556	
pa00290		360	
pa00291	I-F	439	
pa00292		1567	
pa00293		179	
pa00294		2996	
pa00295	I-F	2351	
pa00296		412	
pa00297	I-C	1248	
pa00298	I-F	2933	
pa00299		27	
pa00300		1567	
pa00301		179	
pa00302		308	ambiguous
pa00303		179	
pa00304	I-F	253	
pa00305		179	
pa00306	I-F	439	
pa00307		309	
pa00308		-	
pa00309	I-F	-	
pa00310	IV-A2	309	
pa00311		485	ambiguous
pa00312		1212	ambiguous
pa00313	I-F	845	
pa00314		-	
pa00315		179	
pa00316	I-F	17	
pa00317		1249	
pa00318		316	
pa00319		508	
pa00320	I-F	2923	
pa00321		179	
pa00322		260	ambiguous
pa00323	I-F	1487	
pa00324		348	ambiguous
pa00325	I-F	2923	
pa00326		245	ambiguous
pa00328		508	
pa00329	IV-A1	-	
pa00330	I-E	2938	
pa00331		2937	
pa00332	IV-A1	1816	
pa00333		308	ambiguous
pa00334		313	
pa00335	I-F	139	
pa00336	I-F,I-C	1434	
pa00337	I-F	2935	
pa00338	I-F	-	
pa00339	I-E	2934	
pa00340	I-F	209	
pa00341	I-F	2933	
pa00342		560	ambiguous
pa00343		360	
pa00344	IV-A1	1029	
pa00345		179	
pa00346		27	
pa00347	I-F	569	
pa00348		27	
pa00349		2928	
pa00350	I-F	186	
pa00351	I-F	253	
pa00352		485	ambiguous
pa00353		875	ambiguous
pa00354		27	
pa00355	I-C,I-F	241	
pa00356		639	ambiguous
pa00357	I-F	2923	
pa00358	I-E	111	
pa00359		2924	
pa00360		671	
pa00361		27	
pa00362	I-F	2923	
pa00363		179	
pa00364	I-F	1591	
pa00365		27	
pa00366	I-F	2498	
pa00367		381	
pa00368	I-F	-	
pa00369		1197	
pa00370	I-C	-	
pa00371		1197	
pa00372		179	
pa00373		-	
pa00374		207	ambiguous
pa00375		1284	
pa00376	I-C	-	
pa00377		1710	
pa00378		111	
pa00379	I-C,I-F	-	
pa00380		179	
pa00381		463	
pa00382		274	ambiguous
pa00383		27	
pa00384	I-F	261	
pa00385	I-F	2211	
pa00386	I-F	244	
pa00387		1131	
pa00388	I-F	2167	
pa00389	I-F	299	
pa00390	I-F	244	
pa00391		27	
pa00392		27	
pa00393		447	
pa00394	I-F	244	
pa00395	I-F	645	
pa00396	I-F	17	
pa00397		1823	
