ID	CRISPRtype	MLST	Ambiguous
sa00001		105	
sa00002		105	
sa00003		8	
sa00004		8	
sa00005		8	
sa00006		3390	
sa00007		88	
sa00008		105	
sa00009		8	
sa00010		5	
sa00011		87	
sa00012		8	
sa00013		105	
sa00014		8	
sa00015		105	
sa00016		7	
sa00017		105	
sa00018		8	
sa00019		8	
sa00020		840	
sa00021		5	
sa00022		8	
sa00023		5	
sa00024		496	
sa00025		105	
sa00026		105	
sa00027		8	
sa00028		105	
sa00029		8	
sa00030		225	
sa00031		105	
sa00032		8	
sa00033		105	
sa00034		5	
sa00035		5	
sa00036		8	
sa00037		8	
sa00038		8	
sa00039		105	
sa00040		5	
sa00041	III-A	45	
sa00042		8	
sa00043		8	
sa00044		5	
sa00045		105	
sa00046		8	
sa00047		5	
sa00048		105	
sa00049		5	
sa00050		105	
sa00051		8	
sa00052		5	
sa00053		8	
sa00054		8	
sa00055		8	
sa00056		105	
sa00057		5	
sa00058		5	
sa00059		105	
sa00060		105	
sa00061		105	
sa00062		8	
sa00063		8	
sa00064		5	
sa00065		8	
sa00066		-	
sa00067		8	
sa00068		88	
sa00069		105	
sa00070		231	
sa00071		5	
sa00072		5	
sa00073		105	
sa00074		8	
sa00075		105	
sa00076		105	
sa00077		5	
sa00078		8	
sa00079		5	
sa00080		105	
sa00081		105	
sa00082		8	
sa00083		8	
sa00084		8	
sa00085		5	
sa00086		105	
sa00087		8	
sa00088		105	
sa00089		8	
sa00090		105	
sa00091		8	
sa00092		5	
sa00093		105	
sa00094		5	
sa00095		105	
sa00096		8	
sa00097		105	
sa00098		8	
sa00099		105	
sa00100		105	
sa00101		105	
sa00102		8	
sa00103		8	
sa00104		8	
sa00105		8	
sa00106		8	
sa00107		105	
sa00108		8	
sa00109		8	
sa00110		8	
sa00111		105	
sa00112		5	
sa00113		8	
sa00114		8	
sa00115		8	
sa00116		105	
sa00117		105	
sa00118		5	
sa00119		8	
sa00120		8	
sa00121		8	
sa00122		105	
sa00123		8	
sa00124		8	
sa00125		8	
sa00126		5	
sa00127		105	
sa00128		8	
sa00129		5	
sa00130		8	
sa00131		8	
sa00132		72	ambiguous
sa00133		105	
sa00134		496	
sa00135		-	
sa00136		105	
sa00137		5	
sa00138		8	
sa00139		5	
sa00140		8	
sa00141		105	
sa00142		8	
sa00143		-	
sa00144		8	
sa00145		8	
sa00146		105	
sa00147		105	
sa00148		105	
sa00149		8	
sa00150		105	
sa00151		8	
sa00152		1548	
sa00153		5	
sa00154		-	
sa00155		5	
sa00156		-	
sa00157		45	
sa00158		45	
sa00159		97	
sa00160		5	
sa00161		8	
sa00162		-	
sa00163		97	
sa00164		30	
sa00165		45	
sa00166		5	
sa00167		5	
sa00168		105	
sa00169		5	
sa00170		8	
sa00171		8	
sa00172		8	
sa00173		8	
sa00174		5	
sa00175		8	
sa00176		8	
sa00177		2867	
sa00178		5	
sa00179		8	
sa00180		5	
sa00181		5	
sa00182		5	
sa00183		97	
sa00184		5	
sa00185		5	
sa00186		8	
sa00187		1181	
sa00188		5	
sa00189		8	
sa00190		5	
sa00191		30	
sa00192		109	
sa00193		5	
sa00194		5	
sa00195		5	
sa00196		8	
sa00197		59	
sa00198		5	
sa00199		8	
sa00200		45	
sa00201		8	
sa00202		87	
sa00203		87	
sa00204		105	
sa00205		5	
sa00206		15	
sa00207		105	
sa00208		97	
sa00209		5	
sa00210		59	
sa00211		8	
sa00212		8	
sa00213		5	
sa00214		5	
sa00215		45	
sa00216		105	
sa00217		-	
sa00218		30	
sa00219		47	
sa00220		45	
sa00221		5	
sa00222		1181	
sa00223		8	
sa00224		-	
sa00225		5	
sa00226		8	
sa00227		-	
sa00228		-	
sa00229		30	
sa00230		5	
sa00231		45	
sa00232		30	
sa00233		8	
sa00234		5	
sa00235		5	
sa00236		8	
sa00237		15	
sa00238		5	
sa00239		-	
sa00240		45	
sa00241		97	
sa00242		-	
sa00243		231	
sa00244		5	
sa00245		231	
sa00246		231	
sa00247		8	
sa00248		8	
sa00249		101	
sa00250		105	
sa00251		15	
sa00252		-	
sa00253		72	
sa00254		15	
sa00255		8	
sa00256		36	
sa00257		8	
sa00258		30	
sa00259		8	
sa00260		45	
sa00261		496	
sa00262		105	
sa00263		5	
sa00264		-	
sa00265		45	
sa00266		8	
sa00267		45	
sa00268		15	
sa00269		45	
sa00270		8	
sa00271		8	
sa00272		30	
sa00273		8	
sa00274		30	
sa00275		5	
sa00276		30	
sa00277		5	
sa00278		45	
sa00279		-	
sa00280		5	
sa00281		8	
sa00282		45	
sa00283		8	
sa00284		5	
sa00285		729	
sa00286		3349	
sa00287		-	
sa00288		-	
sa00289		121	
sa00290		121	
sa00291		-	
sa00292		8	
sa00293		30	
sa00294		8	
sa00295		50	
sa00296		20	
sa00297		20	
sa00298		1635	
sa00299		-	
sa00300		8	
sa00301		8	
sa00302		15	
sa00303		30	
sa00304		8	
sa00305		45	
sa00306		333	
sa00307		-	
sa00308		1	
sa00309		5	
sa00310		15	
sa00311		5	
sa00312		398	
sa00313		15	
sa00314		30	
sa00315		2383	
sa00316		30	
sa00317		-	
sa00318		8	
sa00319		30	
sa00320		121	
sa00321		30	
sa00322		8	
sa00323		188	
sa00324		45	
sa00325		15	
sa00326		12	
sa00327		45	
sa00328		8	
sa00329		30	
sa00330		12	
